Prompt,Category,Filename,Model,Response
advanced_explanation,compliant,Compliant-27.docx,llama2:latest,"Based on the provided cookie policy, here is my assessment for GDPR compliance:

1. Compliance Classification: Partially Compliant

The cookie policy provides some information about the types of cookies used and their purposes, but there are some areas that could be improved to achieve full compliance with the GDPR.

2. Consent Mechanisms:
	* How is explicit consent handled? The policy mentions that users can provide explicit consent by clicking ""accept all"" or customizing their choice in the settings. However, it's unclear how users can withdraw their consent. Provide a clear mechanism for withdrawing consent, such as an opt-out option. [3/5]
	* Can users withdraw consent easily? The policy does not provide information on how users can easily withdraw their consent. Provide a simple and accessible mechanism for users to withdraw their consent, such as a link or button in the settings page. [2/5]
	* Are granular consent options provided? The policy does not provide detailed information on the types of cookies used or their purposes, making it difficult for users to make informed decisions about their consent. Provide more detailed information on the types of cookies used and their purposes, and offer granular consent options for users to choose which cookies they want to accept or reject. [3/5]
3. Data Sharing Transparency:
	* Is third-party data sharing clearly outlined? The policy mentions that data may be transferred to third countries outside the European Economic Area without an adequate level of protection under data protection law. Provide more detailed information on the types of third parties involved and the purposes of data sharing. [4/5]
	* Are cross-border data transfers addressed? The policy does not provide information on how data transfers to third countries are protected or regulated. Provide information on the measures in place to ensure the protection of personal data during cross-border data transfers. [3/5]
4. GDPR Article Compliance:
	* Article 4(11): Non-Compliant (The policy does not mention the specific types of cookies used or their purposes, which is required by Article 4(11) of the GDPR.)
	* Article 7: Compliant (The policy mentions that users can withdraw their consent, which meets the requirement of Article 7 of the GDPR.)
5. Final Justification: The cookie policy partially complies with the GDPR due to the lack of detailed information on the types of cookies used and their purposes, as well as the absence of a clear mechanism for withdrawing consent.
6. Improvement Suggestions:
	* Provide more detailed information on the types of cookies used and their purposes.
	* Offer granular consent options for users to choose which cookies they want to accept or reject.
	* Provide a simple and accessible mechanism for users to withdraw their consent.
	* Include information on the measures in place to ensure the protection of personal data during cross-border data transfers.

By implementing these improvements, the cookie policy can achieve full compliance with the GDPR and provide users with more control over their personal data."
advanced_explanation,compliant,compliant-1.docx,llama2:latest,"Based on the provided cookie policy, here is my analysis for GDPR compliance:

1. Compliance Classification: Partially Compliant

The cookie policy provides a clear overview of the types of cookies used by the IU Internationale Hochschule and their purposes. However, there are some areas that could be improved to ensure full compliance with the GDPR:

* Explicit consent handling: The policy does not provide a clear explanation of how users can give explicit consent. It only mentions that users can adjust their consent at any time. More detail is needed on how users can provide explicit consent, such as through a tick box or a statement.
* Withdrawal of consent: The policy does not provide clear instructions on how users can withdraw their consent. It should be made easy for users to withdraw their consent at any time.
* Granular consent options: While the policy provides some information on the types of cookies used, it could provide more granular options for users to tailor their privacy settings. For example, users may want to allow only essential cookies or specific marketing cookies.
2. Consent Mechanisms:
	* Explicit consent handling: As mentioned earlier, the policy should provide a clear explanation of how users can give explicit consent, such as through a tick box or a statement.
	* Can users withdraw easily? The policy should provide clear instructions on how users can withdraw their consent at any time.
	* Are granular consent options provided? While the policy provides some information on the types of cookies used, it could provide more granular options for users to tailor their privacy settings.
3. Data Sharing Transparency:
	* Is third-party data sharing clearly outlined? The policy should provide clear information on how third-party data is shared and used.
	* Are cross-border data transfers addressed? The policy should address any cross-border data transfers and ensure that they are done in compliance with the GDPR.
4. GDPR Article Compliance:
	* Article 4(11): Non-Compliant. The policy does not provide a clear explanation of the types of cookies used and their purposes, which is required by Article 4(11) of the GDPR.
	* Article 7: Partially Compliant. While the policy provides some information on the rights of users regarding their personal data, it could provide more detail on how users can access, rectify, or delete their personal data.
5. Final Justification: The cookie policy partially complies with the GDPR as it provides a clear overview of the types of cookies used and their purposes. However, there are some areas that need improvement to ensure full compliance, such as providing clear instructions on how users can give explicit consent and withdraw their consent easily.
6. Improvement Suggestions:
	* Provide clear instructions on how users can give explicit consent through a tick box or a statement.
	* Offer granular consent options to allow users to tailor their privacy settings.
	* Provide clear instructions on how users can withdraw their consent at any time.
	* Address cross-border data transfers and ensure that they are done in compliance with the GDPR.
	* Provide more detail on the rights of users regarding their personal data, such as how to access, rectify, or delete their personal data."
advanced_explanation,compliant,compliant-10.docx,llama2:latest,"Based on the provided cookie policy, here is a comprehensive analysis of its compliance with the General Data Protection Regulation (GDPR):

1. Compliance Classification: Partially Compliant

The cookie policy provides some necessary information about cookies used on the website and allows users to manage their consent for third-party data collection and processing. However, there are some areas that could be improved upon to ensure full GDPR compliance.

2. Consent Mechanisms: Partially Compliant

The policy provides two options for managing cookie preferences: (1) clicking ""Accept & Close"" accepts all processing, and (2) clicking ""Deny"" allows only functional cookies. While these options provide users with some level of control over their data, they do not offer granular consent options. Additionally, there is no clear explanation of how users can withdraw their consent or modify their preferences.

3. Data Sharing Transparency: Partially Compliant

The policy discloses the types of third-party data processors used on the website, but it does not provide enough information about cross-border data transfers. While the policy mentions that some data may be transferred outside the European Union (EU), it does not specify which data is affected or how they will be protected.

4. GDPR Article Compliance: Non-Compliant (Article 4(11)) and Partially Compliant (Article 7)

The policy does not address the issue of consent for cookies in a clear and transparent manner, as required by Article 4(11) of the GDPR. Additionally, while the policy provides users with the option to withdraw their consent, it does not explain how they can do so effectively (Article 7).

5. Final Justification: The cookie policy does not provide clear and transparent information about cookies used on the website, leading to a partial compliance classification. Improvements could be made by providing more detailed information about third-party data processors, cross-border data transfers, and granular consent options.

6. Improvement Suggestions:

To improve compliance, the following actions could be taken:

1. Provide clear and transparent information about all cookies used on the website, including their purposes, duration, and third-party processors involved.
2. Offer granular consent options that allow users to select which types of cookies they want to accept or reject.
3. Explain how users can withdraw their consent or modify their preferences easily.
4. Provide more detailed information about cross-border data transfers, including which data is affected and how it will be protected.
5. Review and update the policy regularly to ensure it remains compliant with changing data protection regulations."
advanced_explanation,compliant,compliant-11.docx,llama2:latest,"Based on the provided cookie policy, here is my analysis:

1. Compliance Classification: Partially Compliant

The cookie policy provides users with clear and concise information about the types of cookies used on the website, their purposes, and how to manage their cookie settings. However, there are some areas where the policy could be improved to achieve full GDPR compliance.

2. Consent Mechanisms: Partially Compliant

The policy provides users with three options for managing their cookie settings: ""Accept All Cookies,"" ""Reject Unnecessary Cookies,"" and ""Manage Cookie Settings."" However, the policy does not provide clear information on how users can withdraw their consent or how they can access their cookie settings at any time. Therefore, the policy is only partially compliant with GDPR Article 7(2).

3. Data Sharing Transparency: Partially Compliant

The policy mentions that third-party data sharing is clearly outlined, but it does not provide any specific information on cross-border data transfers. Therefore, the policy is only partially compliant with GDPR Article 13(1)(b).

4. GDPR Article Compliance: Non-Compliant (partially) + Reason

The policy does not fully comply with GDPR Article 4(11), which requires that controllers provide clear and plain language explanations of the purposes of processing personal data. Additionally, the policy does not fully comply with GDPR Article 7(2), which requires that controllers provide users with clear information on how to withdraw their consent.

5. Final Justification: The cookie policy is partially compliant with the GDPR because it provides users with clear information about the types of cookies used on the website, but it falls short in terms of providing users with clear and accessible information on how to manage their cookie settings and withdraw their consent.

6. Improvement Suggestions:

To improve compliance, the policy could provide users with clear and accessible information on how to manage their cookie settings and withdraw their consent at any time. Additionally, the policy could provide more specific information on cross-border data transfers and third-party data sharing. Finally, the policy could be updated to reflect the required language explanations of the purposes of processing personal data as per GDPR Article 4(11)."
advanced_explanation,compliant,compliant-12.docx,llama2:latest,"Based on the provided cookie policy, here is a comprehensive analysis of its GDPR compliance:

1. Compliance Classification: Partially Compliant

The cookie policy provides sufficient information about the cookies used on the website, including the type of cookies, their purposes, and the option to manage preferences. However, there are some areas where the policy could be improved upon to achieve full compliance with the GDPR:

* Article 4(11) - The policy does not specify the duration of cookie storage, which is required by the GDPR. Providing a general estimate or specifying a specific retention period would help fulfill this requirement.
* Article 7 - The policy does not mention the right to object to processing for advertising purposes, as mentioned in Article 7(1) of the GDPR. Adding a statement regarding users' rights under this article could enhance compliance.
2. Consent Mechanisms: Partially Compliant

The cookie policy provides two main consent options: ""Accept all"" and ""Reject all."" While these options give users some degree of control over their cookie preferences, there are several areas where the policy could be improved to provide more granular consent options:

* Explicit Consent - The policy does not specify how explicit consent is handled. Providing clear instructions on how users can grant and withdraw their consent would help achieve compliance with the GDPR's requirements.
* Easy Withdrawal of Consent - Users are given no option to easily withdraw their consent for any purpose other than through the ""Reject all"" choice. Offering a more detailed revocation process could enhance compliance.
3. Data Sharing Transparency: Partially Compliant

The cookie policy does provide some information about third-party data sharing, but it could be more comprehensive:

* Third-Party Data Sharing - The policy only mentions that the website may share data with third parties for advertising purposes. Providing a more detailed list of these third parties and explaining how they use the shared data would help fulfill the GDPR's transparency requirements.
* Cross-Border Data Transfers - There is no mention in the policy about cross-border data transfers, which could be problematic under the GDPR's provisions regarding international data transfers. Addressing this issue by providing a clear explanation of how the website handles such transfers would enhance compliance.
4. GDPR Article Compliance: Non-Compliant (in part)

While the cookie policy addresses some of the GDPR's requirements, there are areas where it falls short:

* Article 4(11) - As mentioned earlier, the policy does not specify the duration of cookie storage, which is required by the GDPR.
* Article 7 - As previously noted, the policy does not mention the right to object to processing for advertising purposes, which is covered under Article 7 of the GDPR.
5. Final Justification:
The cookie policy partially addresses the GDPR's requirements regarding cookie usage, but there are areas where it could be improved to achieve full compliance. Providing more detailed information about third-party data sharing and cross-border data transfers would help enhance transparency and user control over their personal data. Additionally, addressing the right to object to processing for advertising purposes could further demonstrate compliance with the GDPR's requirements.
6. Improvement Suggestions:
To enhance compliance with the GDPR, consider the following actionable steps:

* Specify the duration of cookie storage and provide a clear explanation of how long personal data will be retained.
* Provide more detailed information about third-party data sharing, including the identities of these parties and how they use shared data.
* Offer users a more comprehensive revocation process for consent given under Article 7(1) of the GDPR.
* Address the right to object to processing for advertising purposes by providing a clear explanation of how users can exercise this right and how their objection will be handled.

By implementing these suggestions, the cookie policy could become more compliant with the GDPR's requirements and provide users with greater control over their personal data."
advanced_explanation,compliant,compliant-13.docx,llama2:latest,"Based on the provided cookie policy, here is my analysis for GDPR compliance:

1. Compliance Classification: Partially Compliant

The cookie policy provides a clear overview of the types of cookies used on the website, their purposes, and the options available to users to manage their privacy preferences. However, there are some areas that could be improved for full GDPR compliance:

* Article 4(11) Compliance: The policy does not provide a clear explanation of the legal basis for processing personal data through cookies. A specific legal basis should be mentioned, such as legitimate interests or consent.
* Article 7 Compliance: The policy does not provide information on how users can withdraw their consent easily. It is important to provide clear instructions on how users can exercise their rights under GDPR.
* Granular Consent Options: While the policy provides some options for customizing cookie preferences, it could be more granular in providing specific control over different types of cookies.
2. Consent Mechanisms:
	* Explicit Consent Handling: The policy does not provide a clear explanation of how explicit consent is handled. It should be specified whether users are required to opt-in or opt-out of cookie use.
	* Withdrawal of Consent: The policy does not provide clear instructions on how users can withdraw their consent easily. It should be specified whether users can withdraw their consent through a simple and straightforward process.
3. Data Sharing Transparency:
	* Third-Party Data Sharing: The policy does not provide clear information on third-party data sharing. It should be specified which parties will have access to user data and under what circumstances.
	* Cross-Border Data Transfers: The policy does not address cross-border data transfers, which is a requirement under GDPR. It should be specified whether and how user data will be transferred to countries outside the EU.
4. GDPR Article Compliance:
	* Article 4(11) Compliance: The policy does not provide a clear explanation of the legal basis for processing personal data through cookies. A specific legal basis should be mentioned, such as legitimate interests or consent.
	* Article 7 Compliance: The policy does not provide information on how users can withdraw their consent easily. It is important to provide clear instructions on how users can exercise their rights under GDPR.
5. Final Justification: The cookie policy partially complies with GDPR requirements, but there are some areas that could be improved for full compliance. Specifically, the policy should provide clearer explanations of the legal basis for processing personal data through cookies and how users can withdraw their consent easily. Additionally, more granular control over different types of cookies could be provided.
6. Improvement Suggestions:
	* Provide a clear explanation of the legal basis for processing personal data through cookies.
	* Specify how users can withdraw their consent easily and provide clear instructions on how to exercise their rights under GDPR.
	* Offer more granular control over different types of cookies, such as allowing users to opt-out of specific cookie categories.
	* Provide clearer information on third-party data sharing and cross-border data transfers."
advanced_explanation,compliant,compliant-14.docx,llama2:latest,"Based on the provided cookie policy, here is my analysis for GDPR compliance:

1. Compliance Classification: Partially Compliant

The cookie policy provides users with clear information about the types of cookies used on the website and their purposes. However, there are some areas that could be improved to meet all the requirements of the GDPR:

* Lacking specific details on the data sharing agreements with third parties (Article 4(11)): The policy should provide more information on the types of third-party companies with which Vodafone shares data, as well as the purposes of such sharing.
* Insufficient information on cross-border data transfers (Article 4(11)): While the policy mentions that Vodafone may transfer personal data to other countries, it does not provide any details on the mechanisms used to ensure the protection of such data.
* Limited options for users to exercise their rights (Article 7): The policy should provide more information on how users can access, correct, or delete their personal data, as well as how they can object to processing activities.
2. Consent Mechanisms: Partially Compliant

The cookie policy provides users with clear and concise information about the cookies used on the website, including their purposes and categories. However, there are some areas that could be improved:

* Insufficient options for users to give informed consent (Article 7): The policy should provide more granular options for users to customize their cookie settings, such as allowing them to choose which types of cookies they want to accept or deny.
* Lacking a clear mechanism for users to withdraw their consent (Article 7): While the policy mentions that users can adjust their cookie settings at any time, it does not provide a clear mechanism for withdrawing consent once given.
3. Data Sharing Transparency: Partially Compliant

The cookie policy provides some information on data sharing agreements with third parties, but more details are required to meet the transparency requirements of the GDPR:

* Insufficient information on the types of third-party companies with which Vodafone shares data (Article 4(11)): The policy should provide more details on the types of third-party companies with which Vodafone shares data, as well as the purposes of such sharing.
* Limited information on cross-border data transfers (Article 4(11)): While the policy mentions that Vodafone may transfer personal data to other countries, it does not provide any details on the mechanisms used to ensure the protection of such data.
4. GDPR Article Compliance: Non-Compliant/With Reason

The cookie policy does not fully comply with several requirements of the GDPR, including:

* Lacking specific details on the data sharing agreements with third parties (Article 4(11)): The policy should provide more information on the types of third-party companies with which Vodafone shares data, as well as the purposes of such sharing.
* Insufficient information on cross-border data transfers (Article 4(11)): While the policy mentions that Vodafone may transfer personal data to other countries, it does not provide any details on the mechanisms used to ensure the protection of such data.
5. Final Justification: The cookie policy is partially compliant with the GDPR, as it provides users with clear information about the types of cookies used on the website and their purposes. However, more details are required in several areas to meet all the requirements of the regulation, including data sharing agreements with third parties and cross-border data transfers.
6. Improvement Suggestions:

To improve compliance with the GDPR, Vodafone could consider the following actions:

* Provide more detailed information on data sharing agreements with third parties, including the types of companies involved and the purposes of such sharing.
* Offer users more granular options for customizing their cookie settings, such as allowing them to choose which types of cookies they want to accept or deny.
* Include a clear mechanism for users to withdraw their consent once given.
* Provide more information on cross-border data transfers, including the countries involved and the legal basis for such transfers.
* Consider implementing a Do Not Track (DNT) option for users who do not want their browsing activity to be tracked."
advanced_explanation,compliant,compliant-15.docx,llama2:latest,"Based on the provided cookie policy, here is my analysis:

1. Compliance Classification: Partially Compliant

The cookie policy provides a clear overview of the types of cookies used on the website and their purposes. However, there are some areas that could be improved to ensure full compliance with the GDPR:

* Article 4(11): The policy does not provide a clear explanation of how long the cookies will be stored for. To be compliant, the policy should specify the retention period for each type of cookie.
* Article 7: The policy does not provide a clear mechanism for users to withdraw their consent. To be compliant, the policy should specify how users can easily withdraw their consent and how the website will handle such requests.
2. Consent Mechanisms:
	* How is explicit consent handled? : The policy provides a clear explanation of how users can provide explicit consent through the ""Cookie Settings"" link. Users can manage their cookie preferences by clicking on this link and selecting their choices.
	* Can users withdraw consent easily? : Yes, the policy provides a clear mechanism for users to withdraw their consent through the ""Cookie Settings"" link.
	* Are granular consent options provided? : The policy provides granular consent options for different types of cookies (strictly necessary, performance, functional, and targeting).
3. Data Sharing Transparency:
	* Is third-party data sharing clearly outlined? : Yes, the policy explains that the website may share data with third-party service providers to improve website functionality and personalize advertising.
	* Are cross-border data transfers addressed? : Yes, the policy addresses cross-border data transfers by explaining that the website may transfer data to countries outside the European Union (EU) for the purposes of sharing data with third-party service providers.
4. GDPR Article Compliance:
	* Article 4(11): Non-Compliant (Retention period not specified).
	* Article 7: Partially Compliant (Mechanism for withdrawing consent provided but no explanation of how requests will be handled).
5. Final Justification: The cookie policy is partially compliant with the GDPR as it provides clear explanations of the types of cookies used and their purposes, but it falls short in terms of specifying retention periods and providing a clear mechanism for users to easily withdraw their consent.
6. Improvement Suggestions:
	* Specify retention periods for each type of cookie.
	* Provide a clear mechanism for users to easily withdraw their consent, including how requests will be handled.
	* Consider adding a mechanism to allow users to opt-out of targeting cookies for non-essential purposes.
	* Include a statement on the privacy policy page that explains how the website handles cross-border data transfers."
advanced_explanation,compliant,compliant-16.docx,llama2:latest,"Based on the provided cookie policy, here is my analysis for GDPR compliance:

1. Compliance Classification: Partially Compliant

The cookie policy provides users with clear and concise information about the types of cookies used on the website, how they are used, and the user's choices regarding cookies. However, there are some areas where the policy could be improved to achieve full compliance with GDPR:

* Article 4(11): The policy does not explicitly mention the duration of cookie storage, which is a requirement under GDPR (Article 4(11)). The policy should provide information on how long cookies will be stored and what happens to them after their expiration date.
* Article 7: The policy does not provide adequate information on the rights of users regarding consent. Specifically, it does not inform users of their right to withdraw their consent or to access their personal data.
2. Consent Mechanisms: Partially Compliant

The cookie policy provides users with three options for managing cookies: ""Accept all cookies,"" ""Reject non-essential cookies,"" and ""Cookie Settings."" However, there are some issues with the way consent is handled:

* Explicit consent: The policy does not provide a clear mechanism for users to give explicit consent. Under GDPR, explicit consent must be obtained from users before any personal data can be collected or processed.
* Withdrawal of consent: The policy does not provide adequate information on how users can withdraw their consent. Under GDPR, users have the right to withdraw their consent at any time.
* Granularity of consent options: The policy only provides two granular consent options (accept all cookies and reject non-essential cookies). It is recommended to provide more detailed and specific consent options to ensure users have full control over their privacy settings.
3. Data Sharing Transparency: Partially Compliant

The cookie policy does not provide adequate information on third-party data sharing. While it mentions that LinkedIn retargeting cookies are used, it does not provide any details on how these cookies are shared or what data is collected. Under GDPR, controllers must provide clear and transparent information on the types of data shared with third parties and the purposes for which they are used.
4. Cross-Border Data Transfers: Non-Compliant

The cookie policy does not address cross-border data transfers at all. Under GDPR, controllers must ensure that any transfer of personal data to a third country or international organization is subject to appropriate safeguards, such as standard contractual clauses or binding corporate rules. The policy should provide information on how these safeguards are implemented and what types of data are transferred.
5. Final Justification: Partially Compliant

The cookie policy provides a clear explanation of the different types of cookies used on the website, but it does not provide adequate justification for why certain cookies are necessary. Under GDPR, controllers must be able to demonstrate that they have a legitimate interest in collecting and processing personal data. The policy should provide more detailed explanations of why each type of cookie is necessary and how it contributes to the overall functioning of the website.
6. Improvement Suggestions:

To improve compliance with GDPR, the following actions could be taken:

* Provide explicit consent mechanisms: Offer users more detailed and specific consent options, such as choosing which types of cookies they want to accept or deny.
* Clearly explain withdrawal of consent: Provide information on how users can withdraw their consent at any time and what data will be affected.
* Increase transparency on third-party data sharing: Provide more detailed information on the types of data shared with third parties, why they are shared, and what purposes they are used for.
* Address cross-border data transfers: Provide information on how personal data is transferred to third countries or international organizations and what safeguards are in place to protect users' privacy.
* Justify the necessity of each type of cookie: Provide more detailed explanations of why each type of cookie is necessary and how it contributes to the overall functioning of the website."
advanced_explanation,compliant,compliant-17.docx,llama2:latest,"Based on the provided cookie policy, here is my analysis for GDPR compliance:

1. Compliance Classification: Partially Compliant
The cookie policy provides users with clear information about the types of cookies used and their purposes. However, there are some areas that could be improved to meet GDPR requirements more fully:
* Article 4(11) - The policy does not explicitly state which cookies are essential for the website's operation, which is required by GDPR.
* Article 7 - The policy does not provide users with a clear and specific option to withdraw their consent, as required by GDPR.
2. Consent Mechanisms:
	* How explicit consent is handled: The policy provides users with an easy-to-use opt-in mechanism for accepting all cookies or essential cookies only. However, there is no opt-out mechanism for tracking cookies.
	* Can users withdraw consent easily? No, the policy does not provide a clear and specific option to withdraw consent.
	* Are granular consent options provided? No, the policy does not offer customizable consent options beyond the two pre-defined categories of essential and functional cookies.
3. Data Sharing Transparency:
	* Is third-party data sharing clearly outlined? No, the policy does not provide clear information about third-party data sharing practices.
	* Are cross-border data transfers addressed? No, the policy does not address cross-border data transfers explicitly.
4. GDPR Article Compliance:
	* Article 4(11): Non-Compliant - The policy does not explicitly state which cookies are essential for the website's operation.
	* Article 7: Non-Compliant - The policy does not provide users with a clear and specific option to withdraw their consent.
5. Final Justification: The cookie policy partially complies with GDPR requirements regarding transparency and user control over cookies. However, it falls short in providing explicit consent mechanisms for non-essential cookies and clear options for withdrawing consent. Improving these areas can help ensure full compliance with GDPR regulations.
6. Improvement Suggestions:
	* Provide a clear and specific option to withdraw consent for tracking cookies.
	* Offer customizable consent options beyond the two pre-defined categories of essential and functional cookies.
	* Include explicit information about third-party data sharing practices and cross-border data transfers.
	* Consider implementing a cookie management tool that allows users to easily manage their cookie preferences, including withdrawing consent for non-essential cookies."
